acquisition_channel,cancel_year_month,duration_month,fiber_or_adsl,has_retention,offer,recruit_year_month,sub_offer,total_bill,churned,recruit_date,cancel_date,tenure_months,tenure_bin,monthly_revenue_rate
pos,2017-03,2.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,0,1,2017-01-01,2017-03-01,2.0,2,0.0
online,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2630,0,2017-01-01,,60.381077529566355,60,43.556692056583245
phone,,,fiber,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2440,0,2017-01-01,,60.381077529566355,60,40.41001088139282
phone,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,3900,0,2016-01-01,,72.40473061760841,72,53.863883847549914
phone,2018-08,31.0,fiber,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,1530,1,2016-01-01,2018-08-01,31.0,30,49.354838709677416
online,2018-05,16.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,570,1,2017-01-01,2018-05-01,16.0,16,35.625
online,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,3230,0,2016-01-01,,72.40473061760841,72,44.61034482758621
outgoing call - promo,2018-10,33.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1000,1,2016-01-01,2018-10-01,33.0,33,30.303030303030305
online,,,fiber,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2420,0,2017-01-01,,60.381077529566355,60,40.07878128400436
outgoing call - promo,,,fiber,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,3190,0,2016-01-01,,72.40473061760841,72,44.05789473684211
phone,2017-11,22.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,750,1,2016-01-01,2017-11-01,22.0,22,34.09090909090909
phone,2016-11,10.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,350,1,2016-01-01,2016-11-01,10.0,10,35.0
phone,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2940,0,2016-01-01,,72.40473061760841,72,40.60508166969147
phone,,,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,2840,0,2016-01-01,,72.40473061760841,72,39.223956442831216
online,2016-01,0.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,0,1,2016-01-01,2016-01-01,0.0,0,
phone,,,fiber,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2790,0,2017-01-01,,60.381077529566355,60,46.206528835690975
pos,2019-02,25.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1040,1,2017-01-01,2019-02-01,25.0,24,41.6
phone,2017-08,7.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,80,1,2017-01-01,2017-08-01,7.0,7,11.428571428571429
phone,,,fiber,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,4550,0,2016-01-01,,72.40473061760841,72,62.84119782214156
online,2018-02,13.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,620,1,2017-01-01,2018-02-01,13.0,13,47.69230769230769
online,,,fiber,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,5750,0,2016-01-01,,72.40473061760841,72,79.41470054446461
phone,2017-06,5.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,240,1,2017-01-01,2017-06-01,5.0,5,48.0
outgoing call - promo,2018-03,14.0,fiber,False,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,210,1,2017-01-01,2018-03-01,14.0,14,15.0
phone,2017-02,1.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,50,1,2017-01-01,2017-02-01,1.0,1,50.0
phone,,,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,3460,0,2016-01-01,,72.40473061760841,72,47.786932849364796
phone,2018-09,32.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1640,1,2016-01-01,2018-09-01,32.0,30,51.25
outgoing call - promo,2017-09,8.0,fiber,False,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,60,1,2017-01-01,2017-09-01,8.0,8,7.5
phone,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,3200,0,2016-01-01,,72.40473061760841,72,44.19600725952813
online,2017-10,9.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,420,1,2017-01-01,2017-10-01,9.0,9,46.666666666666664
phone,,,fiber,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2400,0,2017-01-01,,60.381077529566355,60,39.74755168661589
phone,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2900,0,2016-01-01,,72.40473061760841,72,40.05263157894737
outgoing call - promo,2019-06,41.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2350,1,2016-01-01,2019-06-01,41.0,36,57.31707317073171
pos,2020-09,56.0,fiber,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,3480,1,2016-01-01,2020-09-01,56.0,54,62.142857142857146
online,2017-12,23.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,1100,1,2016-01-01,2017-12-01,23.0,23,47.82608695652174
outgoing call - promo,,,fiber,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2110,0,2017-01-01,,60.381077529566355,60,34.94472252448314
outgoing call - promo,2016-12,11.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,780,1,2016-01-01,2016-12-01,11.0,11,70.9090909090909
phone,2018-07,18.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1140,1,2017-01-01,2018-07-01,18.0,18,63.333333333333336
online,2019-02,25.0,fiber,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1480,1,2017-01-01,2019-02-01,25.0,24,59.2
phone,2020-11,46.0,fiber,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1900,1,2017-01-01,2020-11-01,46.0,42,41.30434782608695
phone,2018-11,22.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1060,1,2017-01-01,2018-11-01,22.0,22,48.18181818181818
online,2017-02,1.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,0,1,2017-01-01,2017-02-01,1.0,1,0.0
online,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,3100,0,2016-01-01,,72.40473061760841,72,42.814882032667875
phone,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2920,0,2016-01-01,,72.40473061760841,72,40.32885662431942
pos,,,fiber,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2300,0,2017-01-01,,60.381077529566355,60,38.09140369967356
online,2020-06,41.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2440,1,2017-01-01,2020-06-01,41.0,36,59.51219512195122
pos,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2830,0,2016-01-01,,72.40473061760841,72,39.085843920145194
phone,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2870,0,2016-01-01,,72.40473061760841,72,39.6382940108893
phone,2016-02,1.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,0,1,2016-01-01,2016-02-01,1.0,1,0.0
phone,,,fiber,True,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2420,0,2017-01-01,,60.381077529566355,60,40.07878128400436
phone,2018-04,15.0,fiber,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,680,1,2017-01-01,2018-04-01,15.0,15,45.333333333333336
phone,2017-05,16.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,940,1,2016-01-01,2017-05-01,16.0,16,58.75
online,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,5810,0,2016-01-01,,72.40473061760841,72,80.24337568058077
phone,2016-04,3.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,170,1,2016-01-01,2016-04-01,3.0,3,56.666666666666664
outgoing call - promo,2017-06,5.0,adsl,False,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,0,1,2017-01-01,2017-06-01,5.0,5,0.0
online,2016-08,7.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,120,1,2016-01-01,2016-08-01,7.0,7,17.142857142857142
pos,,,fiber,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,3050,0,2016-01-01,,72.40473061760841,72,42.12431941923775
pos,2018-07,18.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,830,1,2017-01-01,2018-07-01,18.0,18,46.111111111111114
outgoing call - promo,2019-09,32.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1140,1,2017-01-01,2019-09-01,32.0,30,35.625
outgoing call - promo,2018-08,19.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,580,1,2017-01-01,2018-08-01,19.0,19,30.526315789473685
phone,,,fiber,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2840,0,2017-01-01,,60.381077529566355,60,47.03460282916214
online,2018-06,17.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1350,1,2017-01-01,2018-06-01,17.0,17,79.41176470588235
pos,,,fiber,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,3780,0,2017-01-01,,60.381077529566355,60,62.602393906420026
outgoing call - promo,2019-11,46.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1750,1,2016-01-01,2019-11-01,46.0,42,38.04347826086956
phone,2017-01,0.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,0,1,2017-01-01,2017-01-01,0.0,0,
outgoing call - promo,2017-03,14.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,410,1,2016-01-01,2017-03-01,14.0,14,29.285714285714285
outgoing call - promo,2018-02,13.0,adsl,False,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,240,1,2017-01-01,2018-02-01,13.0,13,18.46153846153846
online,2017-08,19.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,820,1,2016-01-01,2017-08-01,19.0,19,43.1578947368421
phone,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2460,0,2017-01-01,,60.381077529566355,60,40.741240478781286
outgoing call - promo,2017-07,6.0,fiber,False,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,100,1,2017-01-01,2017-07-01,6.0,6,16.666666666666668
pos,2016-10,9.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,290,1,2016-01-01,2016-10-01,9.0,9,32.22222222222222
online,,,fiber,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2900,0,2017-01-01,,60.381077529566355,60,48.02829162132753
pos,2020-02,49.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2340,1,2016-01-01,2020-02-01,49.0,48,47.755102040816325
online,2016-06,5.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,280,1,2016-01-01,2016-06-01,5.0,5,56.0
outgoing call - promo,2017-12,11.0,adsl,False,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,150,1,2017-01-01,2017-12-01,11.0,11,13.636363636363637
phone,,,fiber,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2860,0,2017-01-01,,60.381077529566355,60,47.365832426550604
phone,2020-10,45.0,adsl,True,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2050,1,2017-01-01,2020-10-01,45.0,42,45.55555555555556
online,2019-04,39.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1440,1,2016-01-01,2019-04-01,39.0,36,36.92307692307692
online,,,fiber,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2450,0,2017-01-01,,60.381077529566355,60,40.57562568008706
phone,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2370,0,2017-01-01,,60.381077529566355,60,39.25070729053319
online,2017-11,10.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,480,1,2017-01-01,2017-11-01,10.0,10,48.0
online,2019-03,38.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,1660,1,2016-01-01,2019-03-01,38.0,36,43.68421052631579
pos,,,fiber,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2470,0,2017-01-01,,60.381077529566355,60,40.90685527747552
phone,2019-08,43.0,fiber,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,2450,1,2016-01-01,2019-08-01,43.0,42,56.97674418604651
mail,2020-06,53.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2140,1,2016-01-01,2020-06-01,53.0,48,40.37735849056604
online,2017-06,5.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,300,1,2017-01-01,2017-06-01,5.0,5,60.0
outgoing call - promo,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1960,0,2017-01-01,,60.381077529566355,60,32.460500544069646
online,2018-01,12.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,550,1,2017-01-01,2018-01-01,12.0,12,45.833333333333336
phone,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,3780,0,2017-01-01,,60.381077529566355,60,62.602393906420026
phone,2018-11,34.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1540,1,2016-01-01,2018-11-01,34.0,33,45.294117647058826
